#ies_format_version: 1.0
#file: 20250813_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	healthStatus;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	breakerPosition;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#006;	frequency;	FALSE;	TRUE;	0;	other;	FLOAT,9. -
YYYYMMDD;	hhmmss;	unixtimestamp;	healthStatus;	breakerPosition;	frequency
20250813;	130635;	1755070595.000;	  err9;	  err9;	     err9
20250813;	130640;	1755070600.000;	  err9;	  err9;	     err9
20250813;	130645;	1755070605.000;	  err9;	  err9;	     err9
20250813;	130650;	1755070610.000;	  err9;	  err9;	     err9
20250813;	130655;	1755070615.000;	  err9;	  err9;	     err9
20250813;	130700;	1755070620.000;	  err9;	  err9;	     err9
20250813;	130705;	1755070625.000;	  err9;	  err9;	     err9
20250813;	130710;	1755070630.000;	  err9;	  err9;	     err9
20250813;	130715;	1755070635.000;	  err9;	  err9;	     err9
20250813;	130720;	1755070640.000;	  err9;	  err9;	     err9
20250813;	130725;	1755070645.000;	  err9;	  err9;	     err9
20250813;	130730;	1755070650.000;	  err9;	  err9;	     err9
20250813;	130735;	1755070655.000;	  err9;	  err9;	     err9
20250813;	130740;	1755070660.000;	  err9;	  err9;	     err9
20250813;	130745;	1755070665.000;	  err9;	  err9;	     err9
20250813;	130750;	1755070670.000;	  err9;	  err9;	     err9
20250813;	130755;	1755070675.000;	  err9;	  err9;	     err9
20250813;	130800;	1755070680.000;	  err9;	  err9;	     err9
20250813;	130805;	1755070685.000;	  err9;	  err9;	     err9
20250813;	130810;	1755070690.000;	  err9;	  err9;	     err9
20250813;	130815;	1755070695.000;	  err9;	  err9;	     err9
20250813;	130820;	1755070700.000;	  err9;	  err9;	     err9
20250813;	130825;	1755070705.000;	  err9;	  err9;	     err9
20250813;	130830;	1755070710.000;	  err9;	  err9;	     err9
20250813;	130835;	1755070715.000;	  err9;	  err9;	     err9
20250813;	130840;	1755070720.000;	  err9;	  err9;	     err9
20250813;	130845;	1755070725.000;	  err9;	  err9;	     err9
20250813;	130850;	1755070730.000;	  err9;	  err9;	     err9
20250813;	130855;	1755070735.000;	  err9;	  err9;	     err9
20250813;	130900;	1755070740.000;	  err9;	  err9;	     err9
20250813;	130905;	1755070745.000;	  err9;	  err9;	     err9
20250813;	130910;	1755070750.000;	  err9;	  err9;	     err9
20250813;	130915;	1755070755.000;	  err9;	  err9;	     err9
20250813;	130920;	1755070760.000;	  err9;	  err9;	     err9
20250813;	130925;	1755070765.000;	  err9;	  err9;	     err9
20250813;	130930;	1755070770.000;	  err9;	  err9;	     err9
20250813;	130935;	1755070775.000;	  err8;	  err8;	     err8
20250813;	130940;	1755070780.000;	  err8;	  err8;	     err8
20250813;	130945;	1755070785.000;	     1;	 err19;	    err19
20250813;	130950;	1755070790.000;	     1;	 err19;	    err19
20250813;	130955;	1755070795.000;	     1;	 err19;	    err19
20250813;	131000;	1755070800.000;	     1;	 err19;	    err19
20250813;	131005;	1755070805.000;	     1;	 err19;	    err19
20250813;	131010;	1755070810.000;	     1;	 err19;	    err19
20250813;	131015;	1755070815.000;	     1;	 err19;	    err19
20250813;	131020;	1755070820.000;	 err32;	 err32;	    err32
20250813;	131025;	1755070825.000;	 err32;	 err32;	    err32
20250813;	131030;	1755070830.000;	 err32;	 err32;	    err32
20250813;	131035;	1755070835.000;	 err32;	 err32;	    err32
20250813;	131040;	1755070840.000;	 err32;	 err32;	    err32
20250813;	131045;	1755070845.000;	 err32;	 err32;	    err32
20250813;	131050;	1755070850.000;	 err32;	 err32;	    err32
20250813;	131055;	1755070855.000;	 err32;	 err32;	    err32
20250813;	131100;	1755070860.000;	 err32;	 err32;	    err32
20250813;	131105;	1755070865.000;	 err32;	 err32;	    err32
20250813;	131110;	1755070870.000;	 err32;	 err32;	    err32
20250813;	131115;	1755070875.000;	 err32;	 err32;	    err32
20250813;	131120;	1755070880.000;	 err32;	 err32;	    err32
20250813;	131125;	1755070885.000;	 err32;	 err32;	    err32
20250813;	131130;	1755070890.000;	 err32;	 err32;	    err32
20250813;	131135;	1755070895.000;	 err32;	 err32;	    err32
20250813;	131140;	1755070900.000;	 err32;	 err32;	    err32
20250813;	131145;	1755070905.000;	 err32;	 err32;	    err32
20250813;	131150;	1755070910.000;	 err32;	 err32;	    err32
20250813;	131155;	1755070915.000;	 err32;	 err32;	    err32
20250813;	131200;	1755070920.000;	 err32;	 err32;	    err32
20250813;	131205;	1755070925.000;	 err32;	 err32;	    err32
20250813;	131210;	1755070930.000;	 err32;	 err32;	    err32
20250813;	131215;	1755070935.000;	 err32;	 err32;	    err32
20250813;	131220;	1755070940.000;	 err32;	 err32;	    err32
20250813;	131225;	1755070945.000;	 err32;	 err32;	    err32
20250813;	131230;	1755070950.000;	 err32;	 err32;	    err32
20250813;	131235;	1755070955.000;	 err32;	 err32;	    err32
20250813;	131240;	1755070960.000;	 err32;	 err32;	    err32
20250813;	131245;	1755070965.000;	 err32;	 err32;	    err32
20250813;	131250;	1755070970.000;	 err32;	 err32;	    err32
20250813;	131255;	1755070975.000;	 err32;	 err32;	    err32
20250813;	131300;	1755070980.000;	 err32;	 err32;	    err32
20250813;	131305;	1755070985.000;	 err32;	 err32;	    err32
20250813;	131310;	1755070990.000;	 err32;	 err32;	    err32
20250813;	131315;	1755070995.000;	 err32;	 err32;	    err32
20250813;	131320;	1755071000.000;	 err32;	 err32;	    err32
20250813;	131325;	1755071005.000;	 err32;	 err32;	    err32
20250813;	131330;	1755071010.000;	 err32;	 err32;	    err32
20250813;	131335;	1755071015.000;	 err32;	 err32;	    err32
20250813;	131340;	1755071020.000;	 err32;	 err32;	    err32
20250813;	131345;	1755071025.000;	 err32;	 err32;	    err32
20250813;	131350;	1755071030.000;	 err32;	 err32;	    err32
20250813;	131355;	1755071035.000;	 err32;	 err32;	    err32
20250813;	131400;	1755071040.000;	 err32;	 err32;	    err32
20250813;	131405;	1755071045.000;	 err32;	 err32;	    err32
20250813;	131410;	1755071050.000;	 err32;	 err32;	    err32
20250813;	131415;	1755071055.000;	 err32;	 err32;	    err32
20250813;	131420;	1755071060.000;	 err32;	 err32;	    err32
20250813;	131425;	1755071065.000;	 err32;	 err32;	    err32
20250813;	131430;	1755071070.000;	 err32;	 err32;	    err32
20250813;	131435;	1755071075.000;	 err32;	 err32;	    err32
20250813;	131440;	1755071080.000;	 err32;	 err32;	    err32
20250813;	131445;	1755071085.000;	 err32;	 err32;	    err32
20250813;	131450;	1755071090.000;	 err32;	 err32;	    err32
20250813;	131455;	1755071095.000;	 err32;	 err32;	    err32
20250813;	131500;	1755071100.000;	 err32;	 err32;	    err32
20250813;	131505;	1755071105.000;	 err32;	 err32;	    err32
20250813;	131510;	1755071110.000;	 err32;	 err32;	    err32
20250813;	131515;	1755071115.000;	 err32;	 err32;	    err32
20250813;	131520;	1755071120.000;	 err32;	 err32;	    err32
20250813;	131525;	1755071125.000;	 err32;	 err32;	    err32
20250813;	131530;	1755071130.000;	 err32;	 err32;	    err32
20250813;	131535;	1755071135.000;	 err32;	 err32;	    err32
20250813;	131540;	1755071140.000;	 err32;	 err32;	    err32
20250813;	131545;	1755071145.000;	 err32;	 err32;	    err32
20250813;	131550;	1755071150.000;	 err32;	 err32;	    err32
20250813;	131555;	1755071155.000;	 err32;	 err32;	    err32
20250813;	131600;	1755071160.000;	 err32;	 err32;	    err32
20250813;	131605;	1755071165.000;	 err32;	 err32;	    err32
20250813;	131610;	1755071170.000;	 err32;	 err32;	    err32
20250813;	131615;	1755071175.000;	 err32;	 err32;	    err32
